    T/O      Fuel     Fuel     Payld    Block    Block    Block    Block    Block    Block    Climb    Climb    Climb    Climb    Climb    Climb    ICA      Cruise   Cruise   Cruise   Cruise   Cruise   Cruise   Cruise   Descent  Descent  Descent  Descent  Descent  Descent  Reserve  TOFL     
    Mass     Load     Vol.     Mass     Dist.    Time     Fuel     NOx      HC       CO       Dist.    Time     Fuel     NOx      HC       CO       Alt.     Mach     Dist.    Time     Fuel     NOx      HC       CO       Dist.    Time     Fuel     NOx      HC       CO       Fuel     Dist.    
    kg.      kg.      %Cap.    kg.      nm.      min.     kg.      kg.      kg.      kg.      nm.      min.     kg.      kg.      kg.      kg.      ft.         nm.      min.     kg.      kg.      kg.      kg.      nm.      min.     kg.      kg.      kg.      kg.      kg.      ft.      s                                       
  536809.  217809.     88.7   20000.    8000.    1017.  205434.   3657.4     0.37    291.1     175.      25.   11266.    382.4     0.00      5.0   34000.    0.845    7703.     953.  189676.   3212.2     0.00    255.8     122.      21.     964.      3.7     0.25     19.0   14878.    8264.                                                     
  569000.  245000.     99.8   25000.    8727.    1106.  231740.   4229.8     0.37    309.4     204.      29.   12953.    438.1     0.00      5.8   34000.    0.845    8398.    1038.  214283.   3728.8     0.00    273.2     124.      21.     977.      3.7     0.26     19.2   15763.    4077.         
  357534.   33534.     13.7   25000.    1000.     151.   26544.    502.9     0.42     63.2     115.      17.    6811.    213.9     0.00      2.8   40000.    0.845     743.      92.   15176.    226.0     0.00     26.5     143.      24.    1029.      3.8     0.30     22.6    9492.    4352.         
  379978.   55978.     22.8   25000.    2000.     274.   48321.    854.7     0.40     96.6     131.      19.    7586.    243.1     0.00      3.3   40000.    0.845    1731.     214.   36208.    548.7     0.00     61.0     138.      22.     999.      3.8     0.28     21.1   10160.    4602.         
  403518.   79518.     32.4   25000.    3000.     397.   71164.   1230.7     0.40    130.3     148.      21.    8421.    268.9     0.00      3.7   40000.    0.845    2713.     336.   58210.    898.9     0.00     94.2     139.      23.    1006.      3.8     0.28     21.2   10857.    4866.         
  428523.  104523.     42.6   25000.    4000.     521.   95427.   1643.5     0.38    162.1     139.      20.    8458.    277.9     0.00      3.7   38000.    0.845    3730.     462.   82466.   1302.7     0.00    127.1     131.      21.     975.      3.7     0.27     20.0   11598.    5182.         
  454962.  130962.     53.3   25000.    5000.     645.  121083.   2094.4     0.38    195.1     158.      23.    9455.    309.7     0.00      4.1   38000.    0.845    4710.     583.  107118.   1721.8     0.00    159.5     132.      22.     982.      3.7     0.27     20.1   12382.    5848.         
  483145.  159145.     64.8   25000.    6000.     769.  148429.   2591.3     0.37    227.3     160.      23.    9941.    332.5     0.00      4.4   36000.    0.845    5712.     707.  133995.   2195.9     0.00    192.3     128.      21.     966.      3.7     0.26     19.4   13218.    6618.         
  512860.  188860.     76.9   25000.    7000.     893.  177264.   3129.6     0.37    259.4     176.      25.   10900.    365.3     0.00      4.8   36000.    0.845    6698.     829.  161877.   2701.5     0.00    224.2     126.      21.     960.      3.7     0.26     19.1   14099.    7499.         
  544701.  220701.     89.9   25000.    8000.    1017.  208161.   3740.4     0.37    289.4     182.      26.   11671.    396.2     0.00      5.2   34000.    0.845    7695.     952.  191992.   3281.4     0.00    253.8     123.      21.     970.      3.7     0.26     19.1   15043.    8525.                                                     
  569000.  240000.     97.8   30000.    8486.    1076.  226808.   4156.5     0.37    300.9     204.      29.   12953.    438.1     0.00      5.8   34000.    0.845    8157.    1008.  209347.   3655.5     0.00    264.5     125.      21.     980.      3.7     0.26     19.2   15695.    4117.         
  362876.   33876.     13.8   30000.    1000.     151.   26797.    511.3     0.42     63.1     118.      17.    6983.    219.4     0.00      2.9   40000.    0.845     738.      91.   15252.    229.0     0.00     26.2     144.      24.    1035.      3.8     0.30     22.7    9581.    4411.         
  385577.   56577.     23.0   30000.    2000.     274.   48823.    869.6     0.40     96.3     135.      19.    7765.    248.6     0.00      3.4   40000.    0.845    1726.     214.   36523.    558.1     0.00     60.4     139.      23.    1006.      3.8     0.29     21.3   10257.    4665.         
  409431.   80431.     32.8   30000.    3000.     398.   71969.   1254.5     0.40    129.6     153.      22.    8640.    275.4     0.00      3.8   40000.    0.845    2708.     335.   58789.    916.0     0.00     93.2     140.      23.    1013.      3.8     0.29     21.3   10964.    4933.         
  434795.  105795.     43.1   30000.    4000.     521.   96582.   1676.2     0.38    161.6     144.      21.    8687.    285.4     0.00      3.8   38000.    0.845    3724.     461.   83386.   1327.9     0.00    126.4     132.      22.     981.      3.7     0.27     20.1   11716.    5335.         
  461604.  132604.     54.0   30000.    5000.     645.  122596.   2138.2     0.38    194.1     164.      23.    9738.    318.7     0.00      4.3   38000.    0.845    4703.     582.  108341.   1756.6     0.00    158.3     133.      22.     989.      3.7     0.27     20.2   12511.    6024.         
  490165.  161165.     65.6   30000.    6000.     769.  150310.   2643.7     0.38    226.7     165.      24.   10219.    341.4     0.00      4.5   36000.    0.845    5706.     706.  135591.   2239.4     0.00    191.4     129.      21.     972.      3.7     0.26     19.6   13357.    6820.         
  520327.  191327.     77.9   30000.    7000.     893.  179578.   3197.2     0.37    258.2     183.      26.   11265.    377.2     0.00      5.0   36000.    0.845    6691.     828.  163820.   2757.2     0.00    222.7     127.      21.     966.      3.7     0.26     19.2   14252.    7733.         
  552624.  223624.     91.1   30000.    8000.    1017.  210918.   3824.2     0.37    287.7     189.      27.   12056.    408.7     0.00      5.4   34000.    0.845    7687.     950.  194358.   3352.6     0.00    251.8     124.      21.     976.      3.7     0.26     19.2   15209.    8794.                                                     
  569000.  235000.     95.7   35000.    8248.    1047.  221876.   4082.4     0.37    292.5     204.      29.   12953.    438.1     0.00      5.8   34000.    0.845    7919.     979.  204412.   3581.4     0.00    256.1     125.      21.     984.      3.8     0.26     19.3   15627.    4158.         
  368217.   34217.     13.9   35000.    1000.     151.   27047.    519.2     0.42     63.0     121.      18.    7141.    224.1     0.00      3.0   40000.    0.845     735.      91.   15337.    232.1     0.00     25.9     145.      24.    1041.      3.9     0.31     22.8    9672.    4471.         
  391199.   57199.     23.3   35000.    2000.     274.   49346.    885.9     0.40     95.9     139.      20.    7975.    255.3     0.00      3.5   40000.    0.845    1721.     213.   36831.    567.6     0.00     59.8     140.      23.    1012.      3.8     0.29     21.3   10356.    4728.         
